Treatment,adjR2,RDA
BIOTIC,0.16637,A+B+C
BIOTIC,-0.01034,A+B+C
BIOTIC,0.38746,A+B+C
BIOTIC,0.10302,A+B+C
BIOTIC,0.07604,A+B+C
BIOTIC,0.06503,A+B+C
BIOTIC,0.22043,A+B+C
BIOTIC,0.04055,A+B+C
BIOTIC,0.06242,A+B+C
BIOTIC,0.11052,A+B+C
BIOTIC,0.08344,A+B+C
BIOTIC,0.13118,A+B+C
BIOTIC,0.14869,A+B+C
BIOTIC,0.09614,A+B+C
BIOTIC,0.10977,A+B+C
BIOTIC,0.31444,A+B+C
BIOTIC,0.10845,A+B+C
BIOTIC,0.14257,A+B+C
BIOTIC,0.01543,A+B+C
BIOTIC,0.1537,A+B+C
BIOTIC,0.00754,A+B+C
BIOTIC,0.07374,A+B+C
BIOTIC,0.14863,A+B+C
BIOTIC,0.09044,A+B+C
BIOTIC,0.07139,A+B+C
CONTROL,0.15162,A+B+C
CONTROL,0.18295,A+B+C
CONTROL,0.31243,A+B+C
CONTROL,0.00389,A+B+C
CONTROL,0.0999,A+B+C
CONTROL,0.02621,A+B+C
CONTROL,0.02586,A+B+C
CONTROL,0.03387,A+B+C
CONTROL,0.403,A+B+C
CONTROL,-0.00035,A+B+C
CONTROL,0.24083,A+B+C
CONTROL,0.0312,A+B+C
CONTROL,0.17995,A+B+C
CONTROL,0.12111,A+B+C
CONTROL,-0.00027,A+B+C
CONTROL,0.65088,A+B+C
CONTROL,0.1138,A+B+C
CONTROL,0.00163,A+B+C
CONTROL,0.09015,A+B+C
CONTROL,0.38895,A+B+C
CONTROL,0.31119,A+B+C
CONTROL,0.05783,A+B+C
CONTROL,0.14249,A+B+C
CONTROL,0.19528,A+B+C
CONTROL,0.24055,A+B+C
CONTROL,0.00195,A+B+C
CONTROL,0.37152,A+B+C
CONTROL,0.04822,A+B+C
CONTROL,0.23096,A+B+C
CONTROL,0.28411,A+B+C
CONTROL,0.0289,A+B+C
CONTROL,0.04473,A+B+C
CONTROL,0.06017,A+B+C
CONTROL,0.02023,A+B+C
CONTROL,0.02481,A+B+C
CONTROL,0.09184,A+B+C
CONTROL,0.20015,A+B+C
CONTROL,0.10783,A+B+C
CONTROL,0.03304,A+B+C
CONTROL,0.04446,A+B+C
CONTROL,0.09548,A+B+C
CONTROL,0.0739,A+B+C
CONTROL,0.1185,A+B+C
CONTROL,0.0001,A+B+C
CONTROL,0.16219,A+B+C
CONTROL,0.08098,A+B+C
CONTROL,0.05814,A+B+C
CONTROL,0.16006,A+B+C
HORMONE,0.19633,A+B+C
HORMONE,0.72923,A+B+C
HORMONE,-0.03788,A+B+C
HORMONE,0.03456,A+B+C
HORMONE,0.04834,A+B+C
HORMONE,0.61544,A+B+C
HORMONE,0.09589,A+B+C
HORMONE,-0.02754,A+B+C
HORMONE,0.14884,A+B+C
HORMONE,0.27708,A+B+C
HORMONE,0.00425,A+B+C
HORMONE,0.23238,A+B+C
HORMONE,0.82302,A+B+C
HORMONE,0.25804,A+B+C
HORMONE,-0.00956,A+B+C
HORMONE,0.14256,A+B+C
HORMONE,-0.02455,A+B+C
HORMONE,0.22726,A+B+C
HORMONE,0.10427,A+B+C
HORMONE,0.09627,A+B+C
BIOTIC,0.0517,A
BIOTIC,-0.00517,A
BIOTIC,-0.0014,A
BIOTIC,0.02595,A
BIOTIC,-0.0244,A
BIOTIC,-0.00647,A
BIOTIC,-0.02288,A
BIOTIC,0.00485,A
BIOTIC,0.00954,A
BIOTIC,0.2122,A
BIOTIC,0.04784,A
BIOTIC,0.20342,A
BIOTIC,0.03196,A
BIOTIC,0.01891,A
BIOTIC,0.07074,A
BIOTIC,0.08148,A
BIOTIC,0.14502,A
BIOTIC,0.04266,A
BIOTIC,0.01446,A
BIOTIC,0.05408,A
BIOTIC,-0.00235,A
BIOTIC,0.25181,A
BIOTIC,-0.00781,A
BIOTIC,-0.0101,A
BIOTIC,-0.00941,A
BIOTIC,-0.0082,A
BIOTIC,0.03988,A
BIOTIC,0.01247,A
BIOTIC,0.04325,A
BIOTIC,0.02108,A
BIOTIC,0.03844,A
BIOTIC,0.00931,A
BIOTIC,0.06933,A
BIOTIC,0.02135,A
BIOTIC,0.18949,A
BIOTIC,0.01852,A
BIOTIC,-0.00683,A
BIOTIC,-0.0058,A
BIOTIC,0.0448,A
BIOTIC,-0.00308,A
BIOTIC,0.03714,A
BIOTIC,0.04113,A
BIOTIC,0.00287,A
BIOTIC,0.0322,A
CONTROL,-0.00864,A
CONTROL,0.06546,A
CONTROL,0.0829,A
CONTROL,-0.00866,A
CONTROL,0.01378,A
CONTROL,-0.00663,A
CONTROL,0.02413,A
CONTROL,0.02229,A
CONTROL,0.07661,A
CONTROL,0.00276,A
CONTROL,0.00115,A
CONTROL,0.00325,A
CONTROL,0.13469,A
CONTROL,0.11083,A
CONTROL,-0.00122,A
CONTROL,0.44751,A
CONTROL,-0.00451,A
CONTROL,0.01433,A
CONTROL,0.00869,A
CONTROL,0.14243,A
CONTROL,-0.0071,A
CONTROL,-0.02754,A
CONTROL,0.01452,A
CONTROL,-0.00993,A
CONTROL,0.0165,A
CONTROL,-0.01207,A
CONTROL,0.12406,A
CONTROL,-0.00113,A
CONTROL,0.14255,A
CONTROL,-0.01951,A
CONTROL,-0.0066,A
CONTROL,0.0096,A
CONTROL,0.01567,A
CONTROL,0.00385,A
CONTROL,0.01789,A
CONTROL,0.00675,A
CONTROL,0.0585,A
CONTROL,-0.00864,A
CONTROL,-0.00864,A
CONTROL,-0.00125,A
CONTROL,-0.00831,A
CONTROL,0.00161,A
CONTROL,0.00129,A
CONTROL,-0.00476,A
CONTROL,0.00663,A
CONTROL,0.02483,A
CONTROL,-0.002,A
CONTROL,-0.00569,A
HORMONE,0.11164,A
HORMONE,0.33693,A
HORMONE,-0.02012,A
HORMONE,-0.00054,A
HORMONE,0.0267,A
HORMONE,0.2566,A
HORMONE,0.01851,A
HORMONE,0.00116,A
HORMONE,0.02249,A
HORMONE,0.04077,A
HORMONE,0.01946,A
HORMONE,0.0287,A
HORMONE,0.43423,A
HORMONE,0.14842,A
HORMONE,-0.00955,A
HORMONE,0.01576,A
HORMONE,-0.00852,A
HORMONE,-0.01608,A
HORMONE,-0.00681,A
HORMONE,0.02544,A
BIOTIC,0.18096,B
BIOTIC,0.08275,B
BIOTIC,0.10239,B
BIOTIC,-0.04931,B
BIOTIC,0.0607,B
BIOTIC,-0.02244,B
BIOTIC,0.12193,B
BIOTIC,0.09435,B
BIOTIC,0.16757,B
BIOTIC,0.02073,B
BIOTIC,0.00933,B
BIOTIC,0.12129,B
BIOTIC,0.00875,B
BIOTIC,0.01775,B
BIOTIC,-0.01285,B
BIOTIC,0.06305,B
BIOTIC,0.03503,B
BIOTIC,0.03092,B
BIOTIC,0.00257,B
BIOTIC,0.05901,B
BIOTIC,-0.0014,B
BIOTIC,0.12092,B
BIOTIC,0.10054,B
BIOTIC,0.06964,B
BIOTIC,0.02872,B
BIOTIC,0.19058,B
BIOTIC,-0.00169,B
BIOTIC,0.0347,B
BIOTIC,0.0565,B
BIOTIC,0.04938,B
BIOTIC,0.07563,B
BIOTIC,0.07957,B
BIOTIC,0.02826,B
BIOTIC,0.05925,B
BIOTIC,0.12098,B
BIOTIC,0.05817,B
BIOTIC,0.12446,B
BIOTIC,0.01609,B
BIOTIC,0.08653,B
BIOTIC,0.00509,B
BIOTIC,0.03715,B
BIOTIC,0.1049,B
BIOTIC,0.07014,B
BIOTIC,0.04389,B
CONTROL,0.06506,B
CONTROL,-0.09227,B
CONTROL,0.20192,B
CONTROL,0.00474,B
CONTROL,0.08269,B
CONTROL,0.00767,B
CONTROL,-0.01562,B
CONTROL,0.01222,B
CONTROL,0.17694,B
CONTROL,0.00525,B
CONTROL,0.00167,B
CONTROL,0.01736,B
CONTROL,0.04668,B
CONTROL,0.01766,B
CONTROL,0.006,B
CONTROL,0.17251,B
CONTROL,0.1077,B
CONTROL,-0.03708,B
CONTROL,0.07767,B
CONTROL,0.23057,B
CONTROL,0.18869,B
CONTROL,0.03314,B
CONTROL,0.10777,B
CONTROL,0.11624,B
CONTROL,-0.01267,B
CONTROL,0.02704,B
CONTROL,0.22652,B
CONTROL,0.01565,B
CONTROL,0.14073,B
CONTROL,0.1667,B
CONTROL,0.00875,B
CONTROL,-0.01624,B
CONTROL,0.03378,B
CONTROL,0.01291,B
CONTROL,0.00888,B
CONTROL,0.05103,B
CONTROL,0.10605,B
CONTROL,0.10764,B
CONTROL,0.03472,B
CONTROL,0.0212,B
CONTROL,0.08316,B
CONTROL,0.03392,B
CONTROL,0.059,B
CONTROL,0.00037,B
CONTROL,0.018,B
CONTROL,0.04791,B
CONTROL,0.0474,B
CONTROL,0.05792,B
HORMONE,0.1136,B
HORMONE,0.36052,B
HORMONE,0.02556,B
HORMONE,0.01405,B
HORMONE,0.021,B
HORMONE,0.38517,B
HORMONE,0.07953,B
HORMONE,-0.00666,B
HORMONE,-0.03825,B
HORMONE,0.18508,B
HORMONE,-0.0281,B
HORMONE,0.15909,B
HORMONE,0.38161,B
HORMONE,0.1238,B
HORMONE,0.01906,B
HORMONE,-0.02925,B
HORMONE,-0.01052,B
HORMONE,0.10266,B
HORMONE,0.05062,B
HORMONE,0.07807,B
BIOTIC,0.04045,C
BIOTIC,0.0629,C
BIOTIC,0.06714,C
BIOTIC,0.14095,C
BIOTIC,0.0027,C
BIOTIC,0.02877,C
BIOTIC,0.02744,C
BIOTIC,0.23402,C
BIOTIC,0.32476,C
BIOTIC,-0.03264,C
BIOTIC,-0.00798,C
BIOTIC,0.03844,C
BIOTIC,-0.00793,C
BIOTIC,-0.00056,C
BIOTIC,0.00449,C
BIOTIC,0.03939,C
BIOTIC,-0.00188,C
BIOTIC,0.01306,C
BIOTIC,-0.00592,C
BIOTIC,0.05328,C
BIOTIC,-0.00658,C
BIOTIC,0.01473,C
BIOTIC,0.01029,C
BIOTIC,0.0165,C
BIOTIC,0.04572,C
BIOTIC,0.03805,C
BIOTIC,0.00236,C
BIOTIC,0.01524,C
BIOTIC,0.01078,C
BIOTIC,0.01297,C
BIOTIC,0.01711,C
BIOTIC,0.05981,C
BIOTIC,0.00144,C
BIOTIC,0.02916,C
BIOTIC,0.00397,C
BIOTIC,0.03175,C
BIOTIC,0.02494,C
BIOTIC,0.00515,C
BIOTIC,0.02236,C
BIOTIC,0.00553,C
BIOTIC,-0.00055,C
BIOTIC,0.0026,C
BIOTIC,0.01743,C
BIOTIC,-0.00469,C
CONTROL,0.0952,C
CONTROL,0.20976,C
CONTROL,0.0276,C
CONTROL,0.00782,C
CONTROL,0.00342,C
CONTROL,0.02517,C
CONTROL,0.01734,C
CONTROL,-0.00064,C
CONTROL,0.14944,C
CONTROL,-0.00835,C
CONTROL,0.23801,C
CONTROL,0.01059,C
CONTROL,-0.00141,C
CONTROL,-0.00738,C
CONTROL,-0.00504,C
CONTROL,0.03086,C
CONTROL,0.0106,C
CONTROL,0.02438,C
CONTROL,0.00379,C
CONTROL,0.01596,C
CONTROL,0.1296,C
CONTROL,0.05223,C
CONTROL,0.0202,C
CONTROL,0.08897,C
CONTROL,0.23672,C
CONTROL,-0.01301,C
CONTROL,0.02093,C
CONTROL,0.03371,C
CONTROL,-0.05232,C
CONTROL,0.13692,C
CONTROL,0.02675,C
CONTROL,0.05137,C
CONTROL,0.01072,C
CONTROL,0.00347,C
CONTROL,-0.00197,C
CONTROL,0.03406,C
CONTROL,0.0356,C
CONTROL,0.00883,C
CONTROL,0.00696,C
CONTROL,0.02451,C
CONTROL,0.02063,C
CONTROL,0.03837,C
CONTROL,0.05821,C
CONTROL,0.00449,C
CONTROL,0.13757,C
CONTROL,0.00825,C
CONTROL,0.01275,C
CONTROL,0.10783,C
HORMONE,-0.02891,C
HORMONE,0.03178,C
HORMONE,-0.04333,C
HORMONE,0.02104,C
HORMONE,0.00064,C
HORMONE,-0.02633,C
HORMONE,-0.00215,C
HORMONE,-0.02204,C
HORMONE,0.1646,C
HORMONE,0.05123,C
HORMONE,0.01289,C
HORMONE,0.04458,C
HORMONE,0.00717,C
HORMONE,-0.01418,C
HORMONE,-0.01907,C
HORMONE,0.15605,C
HORMONE,-0.0055,C
HORMONE,0.14069,C
HORMONE,0.06045,C
HORMONE,-0.00723,C
